CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19
1861319,6820,12047580,596045,107,568563,27375,,110781,1019307,,11513537,7169299,546921,569852,565262,4590,0,4590,0,2
2980547,5510,204370931,47217184,36958141,5819900,4439143,782016,20150786,0,433969,231785376,57894994,34420176,39058297,36845365,2212932,0,1691836,0,322
1291838,4690,1672006,7181252,320885,6851628,8739,,2534812,,,6318446,1928715,1667323,1894663,1763951,130712,0,104060,0,3
3906360,2711,41003834,50150188,7447283,42550829,152076,327762,94562562,,4288863,-7369641,10001205,122655715,113936974,114334611,0,397637,0,964569,184
1515374,2442,1214362481,1340469224,680775695,244308694,415384835,26146176,1148782545,26157619,26755805,1379281912,356889568,2480775721,2762081638,2384261859,377819779,0,317686279,0,2501
1553483,4110,258361405,372930536,297294269,31120533,44515734,90403,199177186,26731,324152,431854275,277866574,117795064,212701841,150587826,62114015,0,52306703,0,58
1590082,610,31930472794,9027811844,1609488423,3638136118,3780187303,179483628,4524525178,66258365,8986866264,27560118459,5664410834,14764836448,16454420341,13731456232,2722964109,0,2399947986,0,13322
10042631,4672,28825997,57878956,13150711,34962761,9765484,151412,16755610,5170111,985085,63945559,6250000,69222577,84155750,69863877,14291873,0,12647642,0,178
1223604,2599,16356939,46899497,31048239,15227693,623565,0,54690668,0,0,8565768,11881719,39453595,50137735,50257764,0,120029,0,174427,491
51,2712,1308389,14223632,7328998,4915301,1979333,140833,2390467,,288531,12993856,4667689,16840120,17671146,18981463,0,1310317,0,1310317,100
67329,2014,51232446,12658975,7904273,4503438,251264,343402,17009460,281102,136899,46807362,9916889,26104964,24170571,29824200,0,5653629,0,5595140,84
24890577,4619,1406133,1787219,574313,1192393,20513,27722,2204637,,,1016437,650000,7925981,8033816,7944470,89346,0,74723,0,20
201535,2391,59839427,21143839,12222235,8285829,58409,90254,14817320,23974,196045,66036181,12325438,32931796,33143281,31957126,1186155,0,978970,0,217
655,2651,179680845,1638341,183317,1069282,385742,,33548521,499140,,147271525,9264890,4274744,4245223,5755475,0,1510252,0,1488645,18
7364742,4789,,38599,36914,1612,73,,68316,,,-29717,200,50365,48928,57040,0,8112,0,8874,
1352846,2892,47069235,49290308,33811683,13707147,1771478,3955,34775855,0,253413,61334230,13413648,44370143,49331554,62502282,0,13170728,0,13170728,471
1678177,9521,,12063,4088,7975,,,18358,,,-6295,200,,,,0,0,0,0,
1346607,910,30768097,103247226,4229589,95482298,3535339,181351,10671531,29255,1094150,122401738,27819090,39997068,43100783,40629043,2471740,0,2442446,0,164
1812987,4120,3486539,341949,206277,113797,21875,,368248,,,3460240,1444319,253818,293012,517452,0,224440,0,224440,5
108526,5510,193880062,19497534,1215865,6423677,10496012,556559,8436771,2084303,,203413081,49614946,60126662,61105912,56891967,4213945,0,3683802,0,727
1614734,3011,35418314,66910412,42194575,6785189,9566768,23394,12140953,3308,787074,89420785,28557298,54618961,55832882,52524817,3308065,0,2721336,0,343
1510210,2420,610844649,550428107,301095683,238507231,10825193,7541674,641196893,33515,7166422,520417600,291587538,1065470332,1164553266,1131451065,33102201,0,33055366,0,1324
199117,4120,67483032,40874656,4958307,24295002,11500595,38084,61044915,,3135381,44215476,6231454,63973788,66715132,64557977,2157155,0,1621101,0,197
